<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;22.07.2021;0;6401.5000000;6467.0000000;6330.5000000;6456.0000000;866384
LKOH;23.07.2021;0;6460.5000000;6477.5000000;6380.5000000;6433.5000000;736662
LKOH;26.07.2021;0;6373.0000000;6408.0000000;6315.0000000;6405.0000000;645400
LKOH;27.07.2021;0;6383.5000000;6401.5000000;6292.0000000;6332.5000000;648049
LKOH;28.07.2021;0;6349.0000000;6427.0000000;6342.0000000;6415.0000000;687330
LKOH;29.07.2021;0;6445.5000000;6455.5000000;6382.5000000;6416.0000000;674738
LKOH;30.07.2021;0;6398.0000000;6402.0000000;6266.5000000;6299.0000000;1129457
LKOH;02.08.2021;0;6308.5000000;6380.0000000;6260.0000000;6308.0000000;893284
LKOH;03.08.2021;0;6301.5000000;6330.0000000;6205.5000000;6297.0000000;999182
LKOH;04.08.2021;0;6310.0000000;6333.5000000;6226.0000000;6235.0000000;754130
LKOH;05.08.2021;0;6218.0000000;6312.0000000;6211.5000000;6312.0000000;577956
LKOH;06.08.2021;0;6319.5000000;6328.5000000;6227.0000000;6236.0000000;727121
LKOH;09.08.2021;0;6198.0000000;6310.0000000;6110.5000000;6290.0000000;787985
LKOH;10.08.2021;0;6325.0000000;6427.5000000;6322.0000000;6423.5000000;995809
LKOH;11.08.2021;0;6438.0000000;6487.5000000;6400.0000000;6450.0000000;917959
LKOH;12.08.2021;0;6450.5000000;6530.0000000;6431.5000000;6504.5000000;620833
LKOH;13.08.2021;0;6488.0000000;6512.0000000;6406.0000000;6429.5000000;572534
LKOH;16.08.2021;0;6400.0000000;6503.0000000;6369.5000000;6495.5000000;621148
LKOH;17.08.2021;0;6476.0000000;6615.0000000;6441.5000000;6567.5000000;1149179
LKOH;18.08.2021;0;6607.5000000;6615.0000000;6444.5000000;6445.0000000;757040
LKOH;19.08.2021;0;6404.0000000;6424.5000000;6255.0000000;6332.0000000;1232898
LKOH;20.08.2021;0;6313.0000000;6348.0000000;6262.5000000;6339.5000000;559803
LKOH;23.08.2021;0;6383.0000000;6489.0000000;6371.0000000;6475.5000000;750426
LKOH;24.08.2021;0;6500.0000000;6521.5000000;6408.0000000;6488.0000000;633383
LKOH;25.08.2021;0;6462.0000000;6483.0000000;6420.5000000;6431.0000000;406112
LKOH;26.08.2021;0;6419.0000000;6430.0000000;6308.0000000;6343.5000000;610360
LKOH;27.08.2021;0;6373.5000000;6443.0000000;6325.5000000;6429.5000000;769681
LKOH;30.08.2021;0;6446.5000000;6471.5000000;6403.5000000;6439.0000000;504200
LKOH;31.08.2021;0;6437.0000000;6449.0000000;6221.0000000;6283.5000000;2056787
LKOH;01.09.2021;0;6302.0000000;6351.0000000;6264.0000000;6334.0000000;1106615
LKOH;02.09.2021;0;6330.0000000;6408.0000000;6278.5000000;6350.5000000;1129608
LKOH;03.09.2021;0;6363.5000000;6366.0000000;6301.0000000;6330.0000000;653587
LKOH;06.09.2021;0;6327.0000000;6372.0000000;6314.5000000;6325.0000000;561034
LKOH;07.09.2021;0;6335.0000000;6338.5000000;6268.5000000;6280.0000000;791670
LKOH;08.09.2021;0;6282.0000000;6354.0000000;6246.5000000;6341.5000000;1079275
LKOH;09.09.2021;0;6330.0000000;6354.5000000;6261.0000000;6269.5000000;827841
LKOH;10.09.2021;0;6299.0000000;6339.0000000;6272.0000000;6300.0000000;747146
LKOH;13.09.2021;0;6321.0000000;6423.5000000;6308.0000000;6420.5000000;805842
LKOH;14.09.2021;0;6441.5000000;6600.0000000;6428.5000000;6570.0000000;1833094
LKOH;15.09.2021;0;6600.0000000;6767.0000000;6583.5000000;6724.5000000;1489881
LKOH;16.09.2021;0;6704.0000000;6800.0000000;6565.0000000;6664.0000000;1762500
LKOH;17.09.2021;0;6671.5000000;6673.0000000;6565.0000000;6600.5000000;1332859
LKOH;20.09.2021;0;6538.0000000;6596.5000000;6494.0000000;6551.0000000;868297
LKOH;21.09.2021;0;6579.0000000;6660.0000000;6557.0000000;6605.0000000;917647
LKOH;22.09.2021;0;6654.0000000;6721.5000000;6622.0000000;6702.0000000;667239
LKOH;23.09.2021;0;6749.0000000;6801.0000000;6707.0000000;6801.0000000;966130
LKOH;24.09.2021;0;6800.0000000;6859.5000000;6740.5000000;6825.0000000;824276
LKOH;27.09.2021;0;6900.0000000;7003.0000000;6871.0000000;6986.0000000;1410591
LKOH;28.09.2021;0;7015.0000000;7141.5000000;6964.0000000;6968.0000000;1472618
LKOH;29.09.2021;0;6928.0000000;7030.0000000;6900.5000000;6992.0000000;1053957
LKOH;30.09.2021;0;7011.0000000;7039.0000000;6850.5000000;6903.5000000;1427649
LKOH;01.10.2021;0;6863.5000000;6990.0000000;6835.0000000;6987.5000000;697983
LKOH;04.10.2021;0;7000.0000000;7160.5000000;6940.5000000;7134.5000000;1569230
LKOH;05.10.2021;0;7160.5000000;7417.0000000;7123.0000000;7346.5000000;1667789
LKOH;06.10.2021;0;7410.0000000;7417.0000000;7030.0000000;7096.0000000;1549495
LKOH;07.10.2021;0;7132.0000000;7189.5000000;6984.5000000;7165.0000000;1282235
LKOH;08.10.2021;0;7205.0000000;7279.0000000;7170.5000000;7220.0000000;922089
LKOH;11.10.2021;0;7287.0000000;7320.0000000;7253.0000000;7264.0000000;733416
LKOH;12.10.2021;0;7211.5000000;7332.0000000;7192.0000000;7306.0000000;817499
LKOH;13.10.2021;0;7321.5000000;7333.5000000;7070.5000000;7252.0000000;1257240
LKOH;14.10.2021;0;7290.0000000;7319.0000000;7172.0000000;7215.0000000;804831
LKOH;15.10.2021;0;7252.0000000;7318.0000000;7195.0000000;7306.5000000;950893
LKOH;18.10.2021;0;7323.0000000;7364.0000000;7271.5000000;7319.0000000;711222
LKOH;19.10.2021;0;7336.0000000;7373.0000000;7240.5000000;7373.0000000;761030
LKOH;20.10.2021;0;7360.0000000;7460.0000000;7320.0000000;7439.0000000;854248
LKOH;21.10.2021;0;7410.0000000;7429.0000000;7202.5000000;7232.0000000;928028
LKOH;22.10.2021;0;7215.0000000;7314.5000000;7172.0000000;7200.0000000;816459
LKOH;25.10.2021;0;7239.0000000;7483.0000000;7215.0000000;7441.5000000;1354036
LKOH;26.10.2021;0;7449.0000000;7525.0000000;7381.0000000;7440.5000000;1135248
LKOH;27.10.2021;0;7405.0000000;7486.5000000;7322.0000000;7323.5000000;746235
LKOH;28.10.2021;0;7286.0000000;7320.0000000;7190.0000000;7288.5000000;1383577
LKOH;29.10.2021;0;7260.0000000;7315.0000000;7118.0000000;7272.5000000;1311428
LKOH;01.11.2021;0;7261.0000000;7327.5000000;7242.0000000;7293.0000000;595014
LKOH;02.11.2021;0;7299.0000000;7394.0000000;7193.5000000;7214.0000000;946259
LKOH;03.11.2021;0;7193.0000000;7202.5000000;7125.0000000;7175.0000000;595102
LKOH;05.11.2021;0;7132.0000000;7205.0000000;7082.0000000;7199.0000000;593006
LKOH;08.11.2021;0;7243.5000000;7275.0000000;7202.0000000;7208.5000000;510146
LKOH;09.11.2021;0;7200.0000000;7255.0000000;7117.5000000;7188.0000000;791353
LKOH;10.11.2021;0;7209.5000000;7266.0000000;7120.0000000;7137.5000000;655388
LKOH;11.11.2021;0;7158.0000000;7171.0000000;6969.0000000;7094.5000000;1090684
LKOH;12.11.2021;0;7061.5000000;7067.0000000;6835.0000000;6878.0000000;1938588
LKOH;15.11.2021;0;6852.0000000;6979.5000000;6815.0000000;6918.5000000;909015
LKOH;16.11.2021;0;6958.0000000;7006.0000000;6905.0000000;6946.5000000;845349
LKOH;17.11.2021;0;6942.0000000;6950.0000000;6840.0000000;6884.5000000;1144794
LKOH;18.11.2021;0;6832.0000000;6887.0000000;6783.5000000;6840.0000000;814044
LKOH;19.11.2021;0;6897.0000000;6902.5000000;6660.0000000;6709.0000000;1372684
LKOH;22.11.2021;0;6690.0000000;6756.5000000;6532.0000000;6575.5000000;1753388
LKOH;23.11.2021;0;6550.5000000;6837.0000000;6490.0000000;6829.5000000;1589774
LKOH;24.11.2021;0;6851.0000000;6891.0000000;6686.5000000;6814.5000000;1372160
LKOH;25.11.2021;0;6828.0000000;6890.5000000;6655.0000000;6661.5000000;1077516
LKOH;26.11.2021;0;6470.0000000;6516.5000000;6335.5000000;6374.0000000;2172255
LKOH;29.11.2021;0;6510.0000000;6713.0000000;6480.0000000;6616.0000000;1799724
LKOH;30.11.2021;0;6502.0000000;6688.5000000;6418.5000000;6513.0000000;2727544
LKOH;01.12.2021;0;6600.0000000;6740.5000000;6543.0000000;6576.5000000;1738308
LKOH;02.12.2021;0;6611.5000000;6768.0000000;6558.0000000;6732.0000000;1462077
LKOH;03.12.2021;0;6751.5000000;6770.0000000;6571.5000000;6639.5000000;842978
LKOH;06.12.2021;0;6691.0000000;6740.0000000;6500.0000000;6650.0000000;1173615
LKOH;07.12.2021;0;6664.0000000;6766.5000000;6645.0000000;6720.5000000;2165695
LKOH;08.12.2021;0;6721.0000000;6784.5000000;6510.0000000;6574.5000000;2076192
LKOH;09.12.2021;0;6594.0000000;6636.0000000;6501.5000000;6619.0000000;1226511
LKOH;10.12.2021;0;6624.5000000;6673.0000000;6568.5000000;6619.5000000;675304
LKOH;13.12.2021;0;6627.5000000;6700.0000000;6352.0000000;6376.0000000;1539741
LKOH;14.12.2021;0;6399.0000000;6628.0000000;5912.5000000;6592.0000000;2086211
LKOH;15.12.2021;0;6590.0000000;6625.0000000;6447.0000000;6595.0000000;1122102
LKOH;16.12.2021;0;6606.5000000;6779.0000000;6595.0000000;6729.0000000;1752666
LKOH;17.12.2021;0;6737.5000000;6765.0000000;6603.5000000;6670.0000000;2014417
LKOH;20.12.2021;0;6344.0000000;6368.0000000;6237.0000000;6328.5000000;1720877
LKOH;21.12.2021;0;6350.0000000;6428.0000000;6285.0000000;6348.5000000;1119339
LKOH;22.12.2021;0;6368.5000000;6393.5000000;6319.5000000;6349.5000000;838708
LKOH;23.12.2021;0;6358.5000000;6380.0000000;6285.0000000;6304.5000000;665390
LKOH;24.12.2021;0;6314.0000000;6328.0000000;6220.5000000;6313.5000000;385809
LKOH;27.12.2021;0;6321.5000000;6398.5000000;6315.0000000;6397.5000000;515565
LKOH;28.12.2021;0;6395.0000000;6559.5000000;6377.0000000;6478.0000000;994519
LKOH;29.12.2021;0;6479.0000000;6525.0000000;6421.0000000;6516.0000000;842305
LKOH;30.12.2021;0;6520.0000000;6597.0000000;6480.0000000;6573.0000000;768281
LKOH;03.01.2022;0;6594.0000000;6705.5000000;6586.0000000;6683.0000000;610482
